"State","Year","Population","Month","Births","BirthsPerThousandWomen"
"Iowa",2020,688340.083333052,"Feb",2844,4.13167861187002
"Kansas",2020,644159.666667146,"Feb",2671,4.14648749093472
"Kentucky",2020,988307.666666895,"Feb",4067,4.1151152997893
"Louisiana",2020,1061436.12499937,"Feb",4426,4.16982227734396
"Maine",2020,276232.49999999,"Feb",845,3.05901731331408
"Maryland",2020,1401328.333334,"Feb",5269,3.76000390105876
"Massachusetts",2020,1618186.74999979,"Feb",5203,3.21532727912936
"Michigan",2020,2193027.91666597,"Feb",8283,3.77696970341925
"Minnesota",2020,1253121.8333331,"Feb",4910,3.91821439016844
"Mississippi",2020,671886.374999694,"Feb",2684,3.99472306608572
"Missouri",2020,1357070.25000083,"Feb",5448,4.01453056685656
"Montana",2020,224611.124999054,"Feb",882,3.92678679652984
"Nebraska",2020,430952.208334172,"Feb",1824,4.23248788317061
"Nevada",2020,699649.541667105,"Feb",2619,3.74330267373508
"New Hampshire",2020,290764.791666861,"Feb",857,2.94739949457805
"New Jersey",2020,2050230.20833392,"Feb",7555,3.68495204552635
"New Mexico",2020,459990.124999022,"Feb",1722,3.7435586253154
"New York",2020,4630051.91666665,"Feb",16693,3.60535914077135
"North Carolina",2020,2357023.12500029,"Feb",9143,3.87904552272854
"North Dakota",2020,168758.16666591,"Feb",818,4.84717282820092
"Ohio",2020,2580797.54166752,"Feb",10152,3.93366772716334
"Oklahoma",2020,884790.458332594,"Feb",3684,4.16369770413503
"Oregon",2020,959874.458333398,"Feb",3104,3.23375621994295
"Pennsylvania",2020,2805681.50000042,"Feb",10073,3.59021506895864
"Rhode Island",2020,247732.49999942,"Feb",823,3.32213173484273
"South Carolina",2020,1124113.12499895,"Feb",4269,3.7976604890224
"South Dakota",2020,182609.499997825,"Feb",862,4.7204553980503
"Tennessee",2020,1560484.9166673,"Feb",6006,3.84880362241944
"Texas",2020,6927305.00000345,"Feb",28462,4.10866852260523
"Utah",2020,804227.624999202,"Feb",3531,4.39054801183123
"Vermont",2020,136260.083333137,"Feb",378,2.77410662575219
"Virginia",2020,1953032.33333387,"Feb",7489,3.83454993149863
"Washington",2020,1751494.999999,"Feb",6542,3.73509487609369
"West Virginia",2020,370780.958332041,"Feb",1306,3.52229522755171
"Wisconsin",2020,1267779.16666683,"Feb",4787,3.7758941981873
"Wyoming",2020,122002.208333685,"Feb",460,3.77042355448081
"Alabama",2020,1131280.33333441,"Mar",4775,4.22088129643856
"Alaska",2020,159982.666665556,"Mar",777,4.85677615078339
"Arizona",2020,1573723.33333421,"Mar",6374,4.05026720071282
"Arkansas",2020,666364.000000578,"Mar",2950,4.42700986247372
"California",2020,9246886.33333769,"Mar",34920,3.7764063211314
"Colorado",2020,1350395.66666782,"Mar",5283,3.9121867245295
"Connecticut",2020,792685.000001313,"Mar",2859,3.60672902854888
"Delaware",2020,210974.999998921,"Mar",854,4.04787297075182
"DC",2020,191875.333332939,"Mar",774,4.03386921369913
"Florida",2020,4533002.66666586,"Mar",17194,3.79307078869349
"Georgia",2020,2539373.66666713,"Mar",10049,3.95727502884169
"Hawaii",2020,299947.33333476,"Mar",1356,4.52079365041936
"Idaho",2020,411414.999999219,"Mar",1864,4.53070500590289
"Illinois",2020,2913926.99999918,"Mar",11117,3.81512645992955
"Indiana",2020,1518634.33333279,"Mar",6556,4.3170366006491
"Iowa",2020,688532.999999738,"Mar",3029,4.39920817157805
"Kansas",2020,644245.333333776,"Mar",2962,4.5976274048778
"Kentucky",2020,988216.666666874,"Mar",4245,4.29561668325007
"Louisiana",2020,1060743.66666609,"Mar",4640,4.37428961002754
"Maine",2020,276452.999999991,"Mar",954,3.45085783116853
"Maryland",2020,1400914.00000061,"Mar",5730,4.09018683516441
"Massachusetts",2020,1617931.99999982,"Mar",5567,3.44081209840749
"Michigan",2020,2192335.33333268,"Mar",8783,4.00623019045563
"Minnesota",2020,1253184.33333311,"Mar",5392,4.30263917013614
"Mississippi",2020,671705.333333051,"Mar",2899,4.31588057461886
"Missouri",2020,1357384.66666744,"Mar",5752,4.23756076022424
