"Notes"	"State of Residence"	"State of Residence Code"	"Month"	"Month Code"	"Year"	"Year Code"	Births
	"Missouri"	"29"	"November"	"11"	"2023"	"2023"	5591
"Total"	"Missouri"	"29"	"November"	"11"			5591
	"Missouri"	"29"	"December"	"12"	"2023"	"2023"	5468
"Total"	"Missouri"	"29"	"December"	"12"			5468
"Total"	"Missouri"	"29"					78063
	"Montana"	"30"	"January"	"1"	"2023"	"2023"	849
	"Montana"	"30"	"January"	"1"	"2024"	"2024"	881
"Total"	"Montana"	"30"	"January"	"1"			1730
	"Montana"	"30"	"February"	"2"	"2023"	"2023"	835
	"Montana"	"30"	"February"	"2"	"2024"	"2024"	881
"Total"	"Montana"	"30"	"February"	"2"			1716
	"Montana"	"30"	"March"	"3"	"2023"	"2023"	922
"Total"	"Montana"	"30"	"March"	"3"			922
	"Montana"	"30"	"April"	"4"	"2023"	"2023"	904
"Total"	"Montana"	"30"	"April"	"4"			904
	"Montana"	"30"	"May"	"5"	"2023"	"2023"	961
"Total"	"Montana"	"30"	"May"	"5"			961
	"Montana"	"30"	"June"	"6"	"2023"	"2023"	956
"Total"	"Montana"	"30"	"June"	"6"			956
	"Montana"	"30"	"July"	"7"	"2023"	"2023"	1035
"Total"	"Montana"	"30"	"July"	"7"			1035
	"Montana"	"30"	"August"	"8"	"2023"	"2023"	957
"Total"	"Montana"	"30"	"August"	"8"			957
	"Montana"	"30"	"September"	"9"	"2023"	"2023"	920
"Total"	"Montana"	"30"	"September"	"9"			920
	"Montana"	"30"	"October"	"10"	"2023"	"2023"	979
"Total"	"Montana"	"30"	"October"	"10"			979
	"Montana"	"30"	"November"	"11"	"2023"	"2023"	868
"Total"	"Montana"	"30"	"November"	"11"			868
	"Montana"	"30"	"December"	"12"	"2023"	"2023"	886
"Total"	"Montana"	"30"	"December"	"12"			886
"Total"	"Montana"	"30"					12834
	"Nebraska"	"31"	"January"	"1"	"2023"	"2023"	2023
	"Nebraska"	"31"	"January"	"1"	"2024"	"2024"	2010
"Total"	"Nebraska"	"31"	"January"	"1"			4033
	"Nebraska"	"31"	"February"	"2"	"2023"	"2023"	1798
	"Nebraska"	"31"	"February"	"2"	"2024"	"2024"	1974
"Total"	"Nebraska"	"31"	"February"	"2"			3772
	"Nebraska"	"31"	"March"	"3"	"2023"	"2023"	2111
"Total"	"Nebraska"	"31"	"March"	"3"			2111
	"Nebraska"	"31"	"April"	"4"	"2023"	"2023"	1957
"Total"	"Nebraska"	"31"	"April"	"4"			1957
	"Nebraska"	"31"	"May"	"5"	"2023"	"2023"	1994
"Total"	"Nebraska"	"31"	"May"	"5"			1994
	"Nebraska"	"31"	"June"	"6"	"2023"	"2023"	2124
"Total"	"Nebraska"	"31"	"June"	"6"			2124
	"Nebraska"	"31"	"July"	"7"	"2023"	"2023"	2039
"Total"	"Nebraska"	"31"	"July"	"7"			2039
	"Nebraska"	"31"	"August"	"8"	"2023"	"2023"	2109
"Total"	"Nebraska"	"31"	"August"	"8"			2109
	"Nebraska"	"31"	"September"	"9"	"2023"	"2023"	1924
"Total"	"Nebraska"	"31"	"September"	"9"			1924
	"Nebraska"	"31"	"October"	"10"	"2023"	"2023"	2014
"Total"	"Nebraska"	"31"	"October"	"10"			2014
	"Nebraska"	"31"	"November"	"11"	"2023"	"2023"	2027
"Total"	"Nebraska"	"31"	"November"	"11"			2027
	"Nebraska"	"31"	"December"	"12"	"2023"	"2023"	1984
"Total"	"Nebraska"	"31"	"December"	"12"			1984
"Total"	"Nebraska"	"31"					28088
	"Nevada"	"32"	"January"	"1"	"2023"	"2023"	2717
	"Nevada"	"32"	"January"	"1"	"2024"	"2024"	2560
"Total"	"Nevada"	"32"	"January"	"1"			5277
	"Nevada"	"32"	"February"	"2"	"2023"	"2023"	2451
	"Nevada"	"32"	"February"	"2"	"2024"	"2024"	2492
"Total"	"Nevada"	"32"	"February"	"2"			4943
	"Nevada"	"32"	"March"	"3"	"2023"	"2023"	2590
"Total"	"Nevada"	"32"	"March"	"3"			2590
	"Nevada"	"32"	"April"	"4"	"2023"	"2023"	2468
"Total"	"Nevada"	"32"	"April"	"4"			2468
	"Nevada"	"32"	"May"	"5"	"2023"	"2023"	2558
"Total"	"Nevada"	"32"	"May"	"5"			2558
	"Nevada"	"32"	"June"	"6"	"2023"	"2023"	2638
"Total"	"Nevada"	"32"	"June"	"6"			2638
	"Nevada"	"32"	"July"	"7"	"2023"	"2023"	2656
"Total"	"Nevada"	"32"	"July"	"7"			2656
	"Nevada"	"32"	"August"	"8"	"2023"	"2023"	2874
"Total"	"Nevada"	"32"	"August"	"8"			2874
	"Nevada"	"32"	"September"	"9"	"2023"	"2023"	2702
"Total"	"Nevada"	"32"	"September"	"9"			2702
	"Nevada"	"32"	"October"	"10"	"2023"	"2023"	2760
"Total"	"Nevada"	"32"	"October"	"10"			2760
	"Nevada"	"32"	"November"	"11"	"2023"	"2023"	2661
"Total"	"Nevada"	"32"	"November"	"11"			2661
	"Nevada"	"32"	"December"	"12"	"2023"	"2023"	2708
"Total"	"Nevada"	"32"	"December"	"12"			2708
"Total"	"Nevada"	"32"					36835
	"New Hampshire"	"33"	"January"	"1"	"2023"	"2023"	930
	"New Hampshire"	"33"	"January"	"1"	"2024"	"2024"	935
"Total"	"New Hampshire"	"33"	"January"	"1"			1865
	"New Hampshire"	"33"	"February"	"2"	"2023"	"2023"	874
	"New Hampshire"	"33"	"February"	"2"	"2024"	"2024"	965
"Total"	"New Hampshire"	"33"	"February"	"2"			1839
	"New Hampshire"	"33"	"March"	"3"	"2023"	"2023"	1006
"Total"	"New Hampshire"	"33"	"March"	"3"			1006
	"New Hampshire"	"33"	"April"	"4"	"2023"	"2023"	969
"Total"	"New Hampshire"	"33"	"April"	"4"			969
	"New Hampshire"	"33"	"May"	"5"	"2023"	"2023"	1012
"Total"	"New Hampshire"	"33"	"May"	"5"			1012
	"New Hampshire"	"33"	"June"	"6"	"2023"	"2023"	1066
"Total"	"New Hampshire"	"33"	"June"	"6"			1066
	"New Hampshire"	"33"	"July"	"7"	"2023"	"2023"	1084
"Total"	"New Hampshire"	"33"	"July"	"7"			1084
	"New Hampshire"	"33"	"August"	"8"	"2023"	"2023"	1108
"Total"	"New Hampshire"	"33"	"August"	"8"			1108
	"New Hampshire"	"33"	"September"	"9"	"2023"	"2023"	979
"Total"	"New Hampshire"	"33"	"September"	"9"			979
	"New Hampshire"	"33"	"October"	"10"	"2023"	"2023"	1034
"Total"	"New Hampshire"	"33"	"October"	"10"			1034
	"New Hampshire"	"33"	"November"	"11"	"2023"	"2023"	952
"Total"	"New Hampshire"	"33"	"November"	"11"			952
	"New Hampshire"	"33"	"December"	"12"	"2023"	"2023"	921
"Total"	"New Hampshire"	"33"	"December"	"12"			921
"Total"	"New Hampshire"	"33"					13835
	"New Jersey"	"34"	"January"	"1"	"2023"	"2023"	8251
	"New Jersey"	"34"	"January"	"1"	"2024"	"2024"	8325
"Total"	"New Jersey"	"34"	"January"	"1"			16576
	"New Jersey"	"34"	"February"	"2"	"2023"	"2023"	7684
	"New Jersey"	"34"	"February"	"2"	"2024"	"2024"	7860
"Total"	"New Jersey"	"34"	"February"	"2"			15544
	"New Jersey"	"34"	"March"	"3"	"2023"	"2023"	8363
"Total"	"New Jersey"	"34"	"March"	"3"			8363
	"New Jersey"	"34"	"April"	"4"	"2023"	"2023"	7726
"Total"	"New Jersey"	"34"	"April"	"4"			7726
	"New Jersey"	"34"	"May"	"5"	"2023"	"2023"	8586
"Total"	"New Jersey"	"34"	"May"	"5"			8586
	"New Jersey"	"34"	"June"	"6"	"2023"	"2023"	8658
"Total"	"New Jersey"	"34"	"June"	"6"			8658
	"New Jersey"	"34"	"July"	"7"	"2023"	"2023"	8916
"Total"	"New Jersey"	"34"	"July"	"7"			8916
	"New Jersey"	"34"	"August"	"8"	"2023"	"2023"	8956
"Total"	"New Jersey"	"34"	"August"	"8"			8956
	"New Jersey"	"34"	"September"	"9"	"2023"	"2023"	8617
"Total"	"New Jersey"	"34"	"September"	"9"			8617
	"New Jersey"	"34"	"October"	"10"	"2023"	"2023"	8662
"Total"	"New Jersey"	"34"	"October"	"10"			8662
	"New Jersey"	"34"	"November"	"11"	"2023"	"2023"	8172
"Total"	"New Jersey"	"34"	"November"	"11"			8172
	"New Jersey"	"34"	"December"	"12"	"2023"	"2023"	8412
"Total"	"New Jersey"	"34"	"December"	"12"			8412
"Total"	"New Jersey"	"34"					117188
	"New Mexico"	"35"	"January"	"1"	"2023"	"2023"	1739
	"New Mexico"	"35"	"January"	"1"	"2024"	"2024"	1748
"Total"	"New Mexico"	"35"	"January"	"1"			3487
	"New Mexico"	"35"	"February"	"2"	"2023"	"2023"	1602
	"New Mexico"	"35"	"February"	"2"	"2024"	"2024"	1482
"Total"	"New Mexico"	"35"	"February"	"2"			3084
	"New Mexico"	"35"	"March"	"3"	"2023"	"2023"	1811
"Total"	"New Mexico"	"35"	"March"	"3"			1811
	"New Mexico"	"35"	"April"	"4"	"2023"	"2023"	1599
"Total"	"New Mexico"	"35"	"April"	"4"			1599
	"New Mexico"	"35"	"May"	"5"	"2023"	"2023"	1773
"Total"	"New Mexico"	"35"	"May"	"5"			1773
	"New Mexico"	"35"	"June"	"6"	"2023"	"2023"	1757
"Total"	"New Mexico"	"35"	"June"	"6"			1757
	"New Mexico"	"35"	"July"	"7"	"2023"	"2023"	1864
"Total"	"New Mexico"	"35"	"July"	"7"			1864
	"New Mexico"	"35"	"August"	"8"	"2023"	"2023"	1895
"Total"	"New Mexico"	"35"	"August"	"8"			1895
	"New Mexico"	"35"	"September"	"9"	"2023"	"2023"	1734
"Total"	"New Mexico"	"35"	"September"	"9"			1734
	"New Mexico"	"35"	"October"	"10"	"2023"	"2023"	1701
"Total"	"New Mexico"	"35"	"October"	"10"			1701
	"New Mexico"	"35"	"November"	"11"	"2023"	"2023"	1715
"Total"	"New Mexico"	"35"	"November"	"11"			1715
	"New Mexico"	"35"	"December"	"12"	"2023"	"2023"	1752
"Total"	"New Mexico"	"35"	"December"	"12"			1752
"Total"	"New Mexico"	"35"					24172
	"New York"	"36"	"January"	"1"	"2023"	"2023"	16598
	"New York"	"36"	"January"	"1"	"2024"	"2024"	16830
"Total"	"New York"	"36"	"January"	"1"			33428
	"New York"	"36"	"February"	"2"	"2023"	"2023"	14811
	"New York"	"36"	"February"	"2"	"2024"	"2024"	15795
"Total"	"New York"	"36"	"February"	"2"			30606
	"New York"	"36"	"March"	"3"	"2023"	"2023"	17026
"Total"	"New York"	"36"	"March"	"3"			17026
	"New York"	"36"	"April"	"4"	"2023"	"2023"	16008
"Total"	"New York"	"36"	"April"	"4"			16008
	"New York"	"36"	"May"	"5"	"2023"	"2023"	17388
"Total"	"New York"	"36"	"May"	"5"			17388
	"New York"	"36"	"June"	"6"	"2023"	"2023"	17446
"Total"	"New York"	"36"	"June"	"6"			17446
	"New York"	"36"	"July"	"7"	"2023"	"2023"	17803
"Total"	"New York"	"36"	"July"	"7"			17803
	"New York"	"36"	"August"	"8"	"2023"	"2023"	17978
"Total"	"New York"	"36"	"August"	"8"			17978
	"New York"	"36"	"September"	"9"	"2023"	"2023"	17169
"Total"	"New York"	"36"	"September"	"9"			17169
	"New York"	"36"	"October"	"10"	"2023"	"2023"	17605
"Total"	"New York"	"36"	"October"	"10"			17605
	"New York"	"36"	"November"	"11"	"2023"	"2023"	17114
"Total"	"New York"	"36"	"November"	"11"			17114
	"New York"	"36"	"December"	"12"	"2023"	"2023"	16613
"Total"	"New York"	"36"	"December"	"12"			16613
"Total"	"New York"	"36"					236184
	"North Carolina"	"37"	"January"	"1"	"2023"	"2023"	10162
	"North Carolina"	"37"	"January"	"1"	"2024"	"2024"	10061
"Total"	"North Carolina"	"37"	"January"	"1"			20223
	"North Carolina"	"37"	"February"	"2"	"2023"	"2023"	9015
	"North Carolina"	"37"	"February"	"2"	"2024"	"2024"	9280
"Total"	"North Carolina"	"37"	"February"	"2"			18295
	"North Carolina"	"37"	"March"	"3"	"2023"	"2023"	9801
"Total"	"North Carolina"	"37"	"March"	"3"			9801
	"North Carolina"	"37"	"April"	"4"	"2023"	"2023"	9243
"Total"	"North Carolina"	"37"	"April"	"4"			9243
	"North Carolina"	"37"	"May"	"5"	"2023"	"2023"	9980
"Total"	"North Carolina"	"37"	"May"	"5"			9980
	"North Carolina"	"37"	"June"	"6"	"2023"	"2023"	9969
"Total"	"North Carolina"	"37"	"June"	"6"			9969
	"North Carolina"	"37"	"July"	"7"	"2023"	"2023"	10495
"Total"	"North Carolina"	"37"	"July"	"7"			10495
	"North Carolina"	"37"	"August"	"8"	"2023"	"2023"	10760
"Total"	"North Carolina"	"37"	"August"	"8"			10760
	"North Carolina"	"37"	"September"	"9"	"2023"	"2023"	10245
"Total"	"North Carolina"	"37"	"September"	"9"			10245
	"North Carolina"	"37"	"October"	"10"	"2023"	"2023"	10253
"Total"	"North Carolina"	"37"	"October"	"10"			10253
	"North Carolina"	"37"	"November"	"11"	"2023"	"2023"	9995
"Total"	"North Carolina"	"37"	"November"	"11"			9995
	"North Carolina"	"37"	"December"	"12"	"2023"	"2023"	10026
"Total"	"North Carolina"	"37"	"December"	"12"			10026
"Total"	"North Carolina"	"37"					139285
	"North Dakota"	"38"	"January"	"1"	"2023"	"2023"	800
	"North Dakota"	"38"	"January"	"1"	"2024"	"2024"	783
"Total"	"North Dakota"	"38"	"January"	"1"			1583
	"North Dakota"	"38"	"February"	"2"	"2023"	"2023"	725
	"North Dakota"	"38"	"February"	"2"	"2024"	"2024"	738
"Total"	"North Dakota"	"38"	"February"	"2"			1463
	"North Dakota"	"38"	"March"	"3"	"2023"	"2023"	816
"Total"	"North Dakota"	"38"	"March"	"3"			816
	"North Dakota"	"38"	"April"	"4"	"2023"	"2023"	826
"Total"	"North Dakota"	"38"	"April"	"4"			826
	"North Dakota"	"38"	"May"	"5"	"2023"	"2023"	858
"Total"	"North Dakota"	"38"	"May"	"5"			858
	"North Dakota"	"38"	"June"	"6"	"2023"	"2023"	820
"Total"	"North Dakota"	"38"	"June"	"6"			820
	"North Dakota"	"38"	"July"	"7"	"2023"	"2023"	839
"Total"	"North Dakota"	"38"	"July"	"7"			839
	"North Dakota"	"38"	"August"	"8"	"2023"	"2023"	832
"Total"	"North Dakota"	"38"	"August"	"8"			832
	"North Dakota"	"38"	"September"	"9"	"2023"	"2023"	764
"Total"	"North Dakota"	"38"	"September"	"9"			764
	"North Dakota"	"38"	"October"	"10"	"2023"	"2023"	795
"Total"	"North Dakota"	"38"	"October"	"10"			795
	"North Dakota"	"38"	"November"	"11"	"2023"	"2023"	797
"Total"	"North Dakota"	"38"	"November"	"11"			797
	"North Dakota"	"38"	"December"	"12"	"2023"	"2023"	774
"Total"	"North Dakota"	"38"	"December"	"12"			774
"Total"	"North Dakota"	"38"					11167
	"Ohio"	"39"	"January"	"1"	"2023"	"2023"	10651
	"Ohio"	"39"	"January"	"1"	"2024"	"2024"	10179
"Total"	"Ohio"	"39"	"January"	"1"			20830
	"Ohio"	"39"	"February"	"2"	"2023"	"2023"	9669
	"Ohio"	"39"	"February"	"2"	"2024"	"2024"	9741
"Total"	"Ohio"	"39"	"February"	"2"			19410
	"Ohio"	"39"	"March"	"3"	"2023"	"2023"	10896
"Total"	"Ohio"	"39"	"March"	"3"			10896
	"Ohio"	"39"	"April"	"4"	"2023"	"2023"	10120
"Total"	"Ohio"	"39"	"April"	"4"			10120
	"Ohio"	"39"	"May"	"5"	"2023"	"2023"	10551
"Total"	"Ohio"	"39"	"May"	"5"			10551
	"Ohio"	"39"	"June"	"6"	"2023"	"2023"	10805
"Total"	"Ohio"	"39"	"June"	"6"			10805
	"Ohio"	"39"	"July"	"7"	"2023"	"2023"	11189
"Total"	"Ohio"	"39"	"July"	"7"			11189
	"Ohio"	"39"	"August"	"8"	"2023"	"2023"	11112
"Total"	"Ohio"	"39"	"August"	"8"			11112
	"Ohio"	"39"	"September"	"9"	"2023"	"2023"	10782
"Total"	"Ohio"	"39"	"September"	"9"			10782
	"Ohio"	"39"	"October"	"10"	"2023"	"2023"	10770
"Total"	"Ohio"	"39"	"October"	"10"			10770
	"Ohio"	"39"	"November"	"11"	"2023"	"2023"	10102
"Total"	"Ohio"	"39"	"November"	"11"			10102
	"Ohio"	"39"	"December"	"12"	"2023"	"2023"	10249
"Total"	"Ohio"	"39"	"December"	"12"			10249
"Total"	"Ohio"	"39"					146816
	"Oklahoma"	"40"	"January"	"1"	"2023"	"2023"	4066
	"Oklahoma"	"40"	"January"	"1"	"2024"	"2024"	3907
"Total"	"Oklahoma"	"40"	"January"	"1"			7973
	"Oklahoma"	"40"	"February"	"2"	"2023"	"2023"	3636
	"Oklahoma"	"40"	"February"	"2"	"2024"	"2024"	3690
"Total"	"Oklahoma"	"40"	"February"	"2"			7326
	"Oklahoma"	"40"	"March"	"3"	"2023"	"2023"	3965
"Total"	"Oklahoma"	"40"	"March"	"3"			3965
	"Oklahoma"	"40"	"April"	"4"	"2023"	"2023"	3665
"Total"	"Oklahoma"	"40"	"April"	"4"			3665
	"Oklahoma"	"40"	"May"	"5"	"2023"	"2023"	4003
"Total"	"Oklahoma"	"40"	"May"	"5"			4003
	"Oklahoma"	"40"	"June"	"6"	"2023"	"2023"	4052
"Total"	"Oklahoma"	"40"	"June"	"6"			4052
	"Oklahoma"	"40"	"July"	"7"	"2023"	"2023"	4187
"Total"	"Oklahoma"	"40"	"July"	"7"			4187
	"Oklahoma"	"40"	"August"	"8"	"2023"	"2023"	4184
"Total"	"Oklahoma"	"40"	"August"	"8"			4184
	"Oklahoma"	"40"	"September"	"9"	"2023"	"2023"	3951
"Total"	"Oklahoma"	"40"	"September"	"9"			3951
	"Oklahoma"	"40"	"October"	"10"	"2023"	"2023"	4118
"Total"	"Oklahoma"	"40"	"October"	"10"			4118
	"Oklahoma"	"40"	"November"	"11"	"2023"	"2023"	3988
"Total"	"Oklahoma"	"40"	"November"	"11"			3988
	"Oklahoma"	"40"	"December"	"12"	"2023"	"2023"	4090
"Total"	"Oklahoma"	"40"	"December"	"12"			4090
"Total"	"Oklahoma"	"40"					55502
	"Oregon"	"41"	"January"	"1"	"2023"	"2023"	3084
	"Oregon"	"41"	"January"	"1"	"2024"	"2024"	3119
"Total"	"Oregon"	"41"	"January"	"1"			6203
	"Oregon"	"41"	"February"	"2"	"2023"	"2023"	2776
	"Oregon"	"41"	"February"	"2"	"2024"	"2024"	2882
"Total"	"Oregon"	"41"	"February"	"2"			5658
	"Oregon"	"41"	"March"	"3"	"2023"	"2023"	3140
"Total"	"Oregon"	"41"	"March"	"3"			3140
	"Oregon"	"41"	"April"	"4"	"2023"	"2023"	3077
"Total"	"Oregon"	"41"	"April"	"4"			3077
	"Oregon"	"41"	"May"	"5"	"2023"	"2023"	3295
"Total"	"Oregon"	"41"	"May"	"5"			3295
	"Oregon"	"41"	"June"	"6"	"2023"	"2023"	3250
"Total"	"Oregon"	"41"	"June"	"6"			3250
	"Oregon"	"41"	"July"	"7"	"2023"	"2023"	3395
"Total"	"Oregon"	"41"	"July"	"7"			3395
	"Oregon"	"41"	"August"	"8"	"2023"	"2023"	3370
"Total"	"Oregon"	"41"	"August"	"8"			3370
	"Oregon"	"41"	"September"	"9"	"2023"	"2023"	3173
"Total"	"Oregon"	"41"	"September"	"9"			3173
	"Oregon"	"41"	"October"	"10"	"2023"	"2023"	3349
"Total"	"Oregon"	"41"	"October"	"10"			3349
	"Oregon"	"41"	"November"	"11"	"2023"	"2023"	3194
"Total"	"Oregon"	"41"	"November"	"11"			3194
	"Oregon"	"41"	"December"	"12"	"2023"	"2023"	3178
"Total"	"Oregon"	"41"	"December"	"12"			3178
"Total"	"Oregon"	"41"					44282
	"Pennsylvania"	"42"	"January"	"1"	"2023"	"2023"	10379
	"Pennsylvania"	"42"	"January"	"1"	"2024"	"2024"	10587
"Total"	"Pennsylvania"	"42"	"January"	"1"			20966
	"Pennsylvania"	"42"	"February"	"2"	"2023"	"2023"	9619
	"Pennsylvania"	"42"	"February"	"2"	"2024"	"2024"	9539
"Total"	"Pennsylvania"	"42"	"February"	"2"			19158
	"Pennsylvania"	"42"	"March"	"3"	"2023"	"2023"	10822
"Total"	"Pennsylvania"	"42"	"March"	"3"			10822
	"Pennsylvania"	"42"	"April"	"4"	"2023"	"2023"	9907
"Total"	"Pennsylvania"	"42"	"April"	"4"			9907
	"Pennsylvania"	"42"	"May"	"5"	"2023"	"2023"	10621
"Total"	"Pennsylvania"	"42"	"May"	"5"			10621
	"Pennsylvania"	"42"	"June"	"6"	"2023"	"2023"	10808
"Total"	"Pennsylvania"	"42"	"June"	"6"			10808
	"Pennsylvania"	"42"	"July"	"7"	"2023"	"2023"	11035
"Total"	"Pennsylvania"	"42"	"July"	"7"			11035
	"Pennsylvania"	"42"	"August"	"8"	"2023"	"2023"	11360
"Total"	"Pennsylvania"	"42"	"August"	"8"			11360
	"Pennsylvania"	"42"	"September"	"9"	"2023"	"2023"	10812
"Total"	"Pennsylvania"	"42"	"September"	"9"			10812
	"Pennsylvania"	"42"	"October"	"10"	"2023"	"2023"	10908
"Total"	"Pennsylvania"	"42"	"October"	"10"			10908
	"Pennsylvania"	"42"	"November"	"11"	"2023"	"2023"	10237
"Total"	"Pennsylvania"	"42"	"November"	"11"			10237
	"Pennsylvania"	"42"	"December"	"12"	"2023"	"2023"	10421
"Total"	"Pennsylvania"	"42"	"December"	"12"			10421
"Total"	"Pennsylvania"	"42"					147055
	"Rhode Island"	"44"	"January"	"1"	"2023"	"2023"	812
	"Rhode Island"	"44"	"January"	"1"	"2024"	"2024"	808
"Total"	"Rhode Island"	"44"	"January"	"1"			1620
	"Rhode Island"	"44"	"February"	"2"	"2023"	"2023"	675
	"Rhode Island"	"44"	"February"	"2"	"2024"	"2024"	716
"Total"	"Rhode Island"	"44"	"February"	"2"			1391
	"Rhode Island"	"44"	"March"	"3"	"2023"	"2023"	796
"Total"	"Rhode Island"	"44"	"March"	"3"			796
	"Rhode Island"	"44"	"April"	"4"	"2023"	"2023"	780
"Total"	"Rhode Island"	"44"	"April"	"4"			780
	"Rhode Island"	"44"	"May"	"5"	"2023"	"2023"	837
"Total"	"Rhode Island"	"44"	"May"	"5"			837
	"Rhode Island"	"44"	"June"	"6"	"2023"	"2023"	900
"Total"	"Rhode Island"	"44"	"June"	"6"			900
	"Rhode Island"	"44"	"July"	"7"	"2023"	"2023"	854
"Total"	"Rhode Island"	"44"	"July"	"7"			854
	"Rhode Island"	"44"	"August"	"8"	"2023"	"2023"	910
"Total"	"Rhode Island"	"44"	"August"	"8"			910
	"Rhode Island"	"44"	"September"	"9"	"2023"	"2023"	784
"Total"	"Rhode Island"	"44"	"September"	"9"			784
	"Rhode Island"	"44"	"October"	"10"	"2023"	"2023"	845
"Total"	"Rhode Island"	"44"	"October"	"10"			845
	"Rhode Island"	"44"	"November"	"11"	"2023"	"2023"	838
"Total"	"Rhode Island"	"44"	"November"	"11"			838
	"Rhode Island"	"44"	"December"	"12"	"2023"	"2023"	774
"Total"	"Rhode Island"	"44"	"December"	"12"			774
"Total"	"Rhode Island"	"44"					11329
	"South Carolina"	"45"	"January"	"1"	"2023"	"2023"	4857
	"South Carolina"	"45"	"January"	"1"	"2024"	"2024"	4866
"Total"	"South Carolina"	"45"	"January"	"1"			9723
	"South Carolina"	"45"	"February"	"2"	"2023"	"2023"	4256
	"South Carolina"	"45"	"February"	"2"	"2024"	"2024"	4480
"Total"	"South Carolina"	"45"	"February"	"2"			8736
	"South Carolina"	"45"	"March"	"3"	"2023"	"2023"	4821
"Total"	"South Carolina"	"45"	"March"	"3"			4821
	"South Carolina"	"45"	"April"	"4"	"2023"	"2023"	4372
"Total"	"South Carolina"	"45"	"April"	"4"			4372
	"South Carolina"	"45"	"May"	"5"	"2023"	"2023"	4730
"Total"	"South Carolina"	"45"	"May"	"5"			4730
	"South Carolina"	"45"	"June"	"6"	"2023"	"2023"	4972
"Total"	"South Carolina"	"45"	"June"	"6"			4972
	"South Carolina"	"45"	"July"	"7"	"2023"	"2023"	4802
"Total"	"South Carolina"	"45"	"July"	"7"			4802
	"South Carolina"	"45"	"August"	"8"	"2023"	"2023"	5180
"Total"	"South Carolina"	"45"	"August"	"8"			5180
	"South Carolina"	"45"	"September"	"9"	"2023"	"2023"	5068
"Total"	"South Carolina"	"45"	"September"	"9"			5068
	"South Carolina"	"45"	"October"	"10"	"2023"	"2023"	4956
"Total"	"South Carolina"	"45"	"October"	"10"			4956
	"South Carolina"	"45"	"November"	"11"	"2023"	"2023"	4896
"Total"	"South Carolina"	"45"	"November"	"11"			4896
	"South Carolina"	"45"	"December"	"12"	"2023"	"2023"	4801
"Total"	"South Carolina"	"45"	"December"	"12"			4801
"Total"	"South Carolina"	"45"					67057
	"South Dakota"	"46"	"January"	"1"	"2023"	"2023"	916
	"South Dakota"	"46"	"January"	"1"	"2024"	"2024"	955
"Total"	"South Dakota"	"46"	"January"	"1"			1871
	"South Dakota"	"46"	"February"	"2"	"2023"	"2023"	821
	"South Dakota"	"46"	"February"	"2"	"2024"	"2024"	859
"Total"	"South Dakota"	"46"	"February"	"2"			1680
	"South Dakota"	"46"	"March"	"3"	"2023"	"2023"	921
"Total"	"South Dakota"	"46"	"March"	"3"			921
	"South Dakota"	"46"	"April"	"4"	"2023"	"2023"	912
"Total"	"South Dakota"	"46"	"April"	"4"			912
	"South Dakota"	"46"	"May"	"5"	"2023"	"2023"	1061
"Total"	"South Dakota"	"46"	"May"	"5"			1061
	"South Dakota"	"46"	"June"	"6"	"2023"	"2023"	928
"Total"	"South Dakota"	"46"	"June"	"6"			928
	"South Dakota"	"46"	"July"	"7"	"2023"	"2023"	989
"Total"	"South Dakota"	"46"	"July"	"7"			989
	"South Dakota"	"46"	"August"	"8"	"2023"	"2023"	1006
"Total"	"South Dakota"	"46"	"August"	"8"			1006
	"South Dakota"	"46"	"September"	"9"	"2023"	"2023"	916
"Total"	"South Dakota"	"46"	"September"	"9"			916
	"South Dakota"	"46"	"October"	"10"	"2023"	"2023"	930
"Total"	"South Dakota"	"46"	"October"	"10"			930
	"South Dakota"	"46"	"November"	"11"	"2023"	"2023"	911
"Total"	"South Dakota"	"46"	"November"	"11"			911
	"South Dakota"	"46"	"December"	"12"	"2023"	"2023"	889
"Total"	"South Dakota"	"46"	"December"	"12"			889
"Total"	"South Dakota"	"46"					13014
	"Tennessee"	"47"	"January"	"1"	"2023"	"2023"	6959
	"Tennessee"	"47"	"January"	"1"	"2024"	"2024"	6737
"Total"	"Tennessee"	"47"	"January"	"1"			13696
	"Tennessee"	"47"	"February"	"2"	"2023"	"2023"	6341
	"Tennessee"	"47"	"February"	"2"	"2024"	"2024"	6476
"Total"	"Tennessee"	"47"	"February"	"2"			12817
	"Tennessee"	"47"	"March"	"3"	"2023"	"2023"	6865
"Total"	"Tennessee"	"47"	"March"	"3"			6865
	"Tennessee"	"47"	"April"	"4"	"2023"	"2023"	6331
"Total"	"Tennessee"	"47"	"April"	"4"			6331
	"Tennessee"	"47"	"May"	"5"	"2023"	"2023"	6821
"Total"	"Tennessee"	"47"	"May"	"5"			6821
	"Tennessee"	"47"	"June"	"6"	"2023"	"2023"	6990
"Total"	"Tennessee"	"47"	"June"	"6"			6990
	"Tennessee"	"47"	"July"	"7"	"2023"	"2023"	7282
"Total"	"Tennessee"	"47"	"July"	"7"			7282
	"Tennessee"	"47"	"August"	"8"	"2023"	"2023"	7679
"Total"	"Tennessee"	"47"	"August"	"8"			7679
	"Tennessee"	"47"	"September"	"9"	"2023"	"2023"	6948
"Total"	"Tennessee"	"47"	"September"	"9"			6948
	"Tennessee"	"47"	"October"	"10"	"2023"	"2023"	7075
